id_produit,cree_le,categorie,colisage fardeau,colisage palette,volume pcs (m3),Is_Gerbable,quantite
31594,2025-03-12 00:00:00,EVOLUTION PLUS,100,1400,0.034,False,300
31725,2025-03-12 00:00:00,MONO ACCESSOIRES,150,2900,0.034,True,1500
31734,2025-03-12 00:00:00,MONO ACCESSOIRES,20,2800,0.034,True,80
31876,2025-03-12 00:00:00,MODULE,60,1200,0.037,False,120
31858,2025-03-12 00:00:00,MODULE,60,1500,0.037,True,600
31860,2025-03-12 00:00:00,MODULE,60,2100,0.037,True,300
31801,2025-03-12 00:00:00,MODULE,60,2400,0.037,True,120
31796,2025-03-12 00:00:00,MODULE,60,1100,0.037,True,120
31794,2025-03-12 00:00:00,MODULE,60,1400,0.037,True,120
31798,2025-03-12 00:00:00,MODULE,60,1300,0.037,True,180
31799,2025-03-12 00:00:00,MODULE,60,1000,0.037,True,420
31887,2025-03-12 00:00:00,MODULE,60,2300,0.037,True,120
31940,2025-03-12 00:00:00,MODULE,60,1900,0.037,False,180
31938,2025-03-12 00:00:00,MODULE,60,2200,0.037,False,60
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
31737,2025-03-12 00:00:00,MONO ACCESSOIRES,200,1300,0.038,True,2000
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,0
32089,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,1600,0.02,True,30
32085,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2500,0.027,True,30
32079,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1500,0.027,True,30
32124,2025-03-12 00:00:00,SPOT,90,2700,0.05,True,90
32005,2025-03-12 00:00:00,OCTANS,90,1100,0.041,False,180
32004,2025-03-12 00:00:00,OCTANS,40,2600,0.041,False,80
32003,2025-03-12 00:00:00,OCTANS,90,2100,0.041,False,180
32001,2025-03-12 00:00:00,OCTANS,90,3000,0.041,False,180
31993,2025-03-12 00:00:00,OBERON,100,2300,0.041,False,1000
31987,2025-03-12 00:00:00,OBERON,10,1200,0.041,False,50
34397,2025-03-12 00:00:00,ICON,50,1600,0.041,False,100
34019,2025-03-12 00:00:00,ICON,100,2400,0.041,False,100
34013,2025-03-12 00:00:00,ICON,100,3000,0.041,False,500
34018,2025-03-12 00:00:00,ICON,100,1800,0.041,False,200
31731,2025-03-12 00:00:00,MONO ACCESSOIRES,100,2200,0.034,True,500
31558,2025-03-12 00:00:00,EVOLUTION,100,1900,0.037,False,200
31549,2025-03-12 00:00:00,EVOLUTION,100,2800,0.037,False,500
31595,2025-03-12 00:00:00,EVOLUTION PLUS,100,1200,0.037,False,500
31473,2025-03-12 00:00:00,DISPINA,100,1100,0.037,False,600
31437,2025-03-12 00:00:00,DISPINA,100,1000,0.037,True,400
35596,2025-03-12 00:00:00,ICON,60,2900,0.041,False,120
34392,2025-03-12 00:00:00,ICON,80,2200,0.041,False,80
34392,2025-03-12 00:00:00,ICON,80,2200,0.041,False,0
31495,2025-03-12 00:00:00,DISPINA METALIC,75,2600,0.037,True,75
31674,2025-03-12 00:00:00,LARISSA,100,2500,0.041,True,100
31440,2025-03-12 00:00:00,DISPINA,40,1200,0.037,True,40
32002,2025-03-12 00:00:00,OCTANS,90,1000,0.041,False,90
32000,2025-03-12 00:00:00,OCTANS,40,1200,0.041,False,80
31992,2025-03-12 00:00:00,OBERON,100,2400,0.041,False,300
31985,2025-03-12 00:00:00,OBERON,80,2300,0.041,False,400
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,500
34403,2025-03-12 00:00:00,ICON,100,2600,0.041,False,200
34016,2025-03-12 00:00:00,ICON,100,1100,0.041,False,500
35585,2025-03-12 00:00:00,ICON,100,2400,0.041,False,500
31766,2025-03-12 00:00:00,MOULURE,80,3000,0.0032,False,80
31730,2025-03-12 00:00:00,MONO ACCESSOIRES,60,3000,0.034,True,480
31730,2025-03-12 00:00:00,MONO ACCESSOIRES,60,3000,0.034,True,120
31556,2025-03-12 00:00:00,EVOLUTION,100,2100,0.037,False,300
31543,2025-03-12 00:00:00,EVOLUTION,100,2000,0.037,False,500
31482,2025-03-12 00:00:00,DISPINA,100,1000,0.037,False,500
31453,2025-03-12 00:00:00,DISPINA,60,2900,0.037,True,120
31732,2025-03-12 00:00:00,MONO ACCESSOIRES,200,1300,0.034,True,2000
35595,2025-03-12 00:00:00,ICON,80,2100,0.041,False,160
34393,2025-03-12 00:00:00,ICON,60,2100,0.041,False,60
34393,2025-03-12 00:00:00,ICON,60,2100,0.041,False,180
31494,2025-03-12 00:00:00,DISPINA METALIC,80,2500,0.037,True,80
31470,2025-03-12 00:00:00,DISPINA,50,2200,0.037,False,50
34209,2025-03-12 00:00:00,ORION,9,2900,0.026,False,9
31437,2025-03-12 00:00:00,DISPINA,100,1000,0.037,True,600
31449,2025-03-12 00:00:00,DISPINA,100,1600,0.037,True,600
31461,2025-03-12 00:00:00,DISPINA,100,1600,0.037,False,200
31463,2025-03-12 00:00:00,DISPINA,100,3000,0.037,False,2000
31473,2025-03-12 00:00:00,DISPINA,100,1100,0.037,False,800
31482,2025-03-12 00:00:00,DISPINA,100,1000,0.037,False,400
35596,2025-03-12 00:00:00,ICON,60,2900,0.041,False,120
35574,2025-03-12 00:00:00,ICON,100,2400,0.041,False,600
35586,2025-03-12 00:00:00,ICON,100,1400,0.041,False,200
31796,2025-03-12 00:00:00,MODULE,60,1100,0.037,True,60
31801,2025-03-12 00:00:00,MODULE,60,2400,0.037,True,120
31953,2025-03-12 00:00:00,MODULE,60,1700,0.037,False,60
31994,2025-03-12 00:00:00,OBERON,100,2400,0.041,False,800
34201,2025-03-12 00:00:00,ORION,25,2800,0.026,False,75
34201,2025-03-12 00:00:00,ORION,25,2800,0.026,False,25
34202,2025-03-12 00:00:00,ORION,25,1800,0.026,False,100
34203,2025-03-12 00:00:00,ORION,20,1300,0.026,False,40
34183,2025-03-12 00:00:00,ORION,25,1900,0.026,False,100
31761,2025-03-12 00:00:00,MOULURE,150,1000,0.000512,False,1500
31342,2025-03-12 00:00:00,MOULURE,32,1900,0.00025,True,32
31484,2025-03-12 00:00:00,DISPINA METALIC,120,1900,0.037,True,240
31485,2025-03-12 00:00:00,DISPINA METALIC,80,1800,0.037,True,80
31587,2025-03-12 00:00:00,EVOLUTION PLUS,100,1500,0.034,False,800
34018,2025-03-12 00:00:00,ICON,100,1800,0.041,False,400
34014,2025-03-12 00:00:00,ICON,100,3000,0.041,False,400
34402,2025-03-12 00:00:00,ICON,50,2500,0.041,False,50
34013,2025-03-12 00:00:00,ICON,100,3000,0.041,False,600
34403,2025-03-12 00:00:00,ICON,100,2600,0.041,False,400
34017,2025-03-12 00:00:00,ICON,100,1500,0.041,False,400
35585,2025-03-12 00:00:00,ICON,100,2400,0.041,False,1500
35578,2025-03-12 00:00:00,ICON,100,2600,0.041,False,400
35576,2025-03-12 00:00:00,ICON,100,1800,0.041,False,400
35598,2025-03-12 00:00:00,ICON,32,2600,0.041,False,32
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,1200
35597,2025-03-12 00:00:00,ICON,32,1500,0.041,False,32
31988,2025-03-12 00:00:00,OBERON,100,1100,0.041,False,0
31995,2025-03-12 00:00:00,OBERON,100,2200,0.041,False,200
32000,2025-03-12 00:00:00,OCTANS,40,1200,0.041,False,40
31441,2025-03-12 00:00:00,DISPINA,20,2000,0.037,True,60
31543,2025-03-12 00:00:00,EVOLUTION,100,2000,0.037,False,200
31565,2025-03-12 00:00:00,EVOLUTION,100,1700,0.037,False,500
31531,2025-03-12 00:00:00,EVOLUTION PLUS,30,2200,0.037,False,150
31579,2025-03-12 00:00:00,EVOLUTION PLUS,100,2200,0.034,False,100
31584,2025-03-12 00:00:00,EVOLUTION PLUS,100,1700,0.034,False,500
32082,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,1400,0.05,True,6
35594,2025-03-12 00:00:00,ICON,50,2200,0.041,False,50
35580,2025-03-12 00:00:00,ICON,100,2600,0.041,False,100
34406,2025-03-12 00:00:00,ICON,50,1500,0.041,False,100
34393,2025-03-12 00:00:00,ICON,60,2100,0.041,False,60
31554,2025-03-12 00:00:00,EVOLUTION,100,2600,0.037,False,800
31557,2025-03-12 00:00:00,EVOLUTION,100,1800,0.037,False,300
31574,2025-03-12 00:00:00,EVOLUTION PLUS,100,2300,0.034,False,100
31595,2025-03-12 00:00:00,EVOLUTION PLUS,100,1200,0.037,False,300
31760,2025-03-12 00:00:00,MOULURE,14,2100,0.08000000000000002,False,42
35574,2025-03-12 00:00:00,ICON,100,2400,0.041,False,200
35585,2025-03-12 00:00:00,ICON,100,2400,0.041,False,200
34016,2025-03-12 00:00:00,ICON,100,1100,0.041,False,200
34392,2025-03-12 00:00:00,ICON,80,2200,0.041,False,0
34395,2025-03-12 00:00:00,ICON,32,1900,0.041,False,32
31484,2025-03-12 00:00:00,DISPINA METALIC,120,1900,0.037,True,120
31484,2025-03-12 00:00:00,DISPINA METALIC,120,1900,0.037,True,480
31801,2025-03-12 00:00:00,MODULE,60,2400,0.037,True,60
31841,2025-03-12 00:00:00,MODULE,60,2300,0.037,True,60
31850,2025-03-12 00:00:00,MODULE,80,2400,0.037,True,80
31859,2025-03-12 00:00:00,MODULE,60,1100,0.037,True,60
31866,2025-03-12 00:00:00,MODULE,60,2900,0.037,True,60
31501,2025-03-12 00:00:00,DISPINA METALIC,120,2100,0.037,True,120
31883,2025-03-12 00:00:00,MODULE,60,1800,0.037,True,60
31887,2025-03-12 00:00:00,MODULE,60,2300,0.037,True,60
31509,2025-03-12 00:00:00,DISPINA METALIC,120,2300,0.037,False,360
31951,2025-03-12 00:00:00,MODULE,60,1300,0.037,False,120
31960,2025-03-12 00:00:00,MODULE,60,2600,0.037,False,60
31799,2025-03-12 00:00:00,MODULE,60,1000,0.037,True,60
31803,2025-03-12 00:00:00,MODULE,60,1900,0.037,True,60
31848,2025-03-12 00:00:00,MODULE,60,2200,0.037,True,120
31858,2025-03-12 00:00:00,MODULE,60,1500,0.037,True,180
31860,2025-03-12 00:00:00,MODULE,60,2100,0.037,True,60
31876,2025-03-12 00:00:00,MODULE,60,1200,0.037,False,60
31881,2025-03-12 00:00:00,MODULE,60,1900,0.037,True,60
31886,2025-03-12 00:00:00,MODULE,60,2000,0.037,True,60
31734,2025-03-12 00:00:00,MONO ACCESSOIRES,20,2800,0.034,True,60
31889,2025-03-12 00:00:00,MODULE,60,1300,0.037,True,60
31942,2025-03-12 00:00:00,MODULE,80,1100,0.037,False,80
31953,2025-03-12 00:00:00,MODULE,60,1700,0.037,False,60
31732,2025-03-12 00:00:00,MONO ACCESSOIRES,200,1300,0.034,True,600
31985,2025-03-12 00:00:00,OBERON,80,2300,0.041,False,160
31987,2025-03-12 00:00:00,OBERON,10,1200,0.041,False,40
31992,2025-03-12 00:00:00,OBERON,100,2400,0.041,False,100
31993,2025-03-12 00:00:00,OBERON,100,2300,0.041,False,300
31994,2025-03-12 00:00:00,OBERON,100,2400,0.041,False,200
31440,2025-03-12 00:00:00,DISPINA,40,1200,0.037,True,120
31453,2025-03-12 00:00:00,DISPINA,60,2900,0.037,True,60
31549,2025-03-12 00:00:00,EVOLUTION,100,2800,0.037,False,200
31756,2025-03-12 00:00:00,MONO ACCESSOIRES,120,1700,0.038,True,120
31723,2025-03-12 00:00:00,MONO ACCESSOIRES,200,3000,0.025,True,600
31986,2025-03-12 00:00:00,OBERON,160,1400,0.041,False,480
32080,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1000,0.032,True,12
31688,2025-03-13 00:00:00,LARISSA,100,1900,0.041,True,0
31688,2025-03-13 00:00:00,LARISSA,100,1900,0.041,True,0
31706,2025-03-13 00:00:00,LARISSA,100,1900,0.041,True,0
31706,2025-03-13 00:00:00,LARISSA,100,1900,0.041,True,0
31706,2025-03-13 00:00:00,LARISSA,100,1900,0.041,True,0
31674,2025-03-13 00:00:00,LARISSA,100,2500,0.041,True,0
31698,2025-03-13 00:00:00,LARISSA,100,1400,0.041,True,0
31700,2025-03-13 00:00:00,LARISSA,50,1300,0.041,True,0
31647,2025-03-13 00:00:00,LARISSA,200,1900,0.041,False,0
31647,2025-03-13 00:00:00,LARISSA,200,1900,0.041,False,0
31665,2025-03-13 00:00:00,LARISSA,40,1300,0.041,True,0
36622,2025-03-13 00:00:00,MINI DISJONCTEUR,120,2500,0.026,False,0
39033,2025-03-13 00:00:00,MINI DISJONCTEUR,60,1400,0.026,False,0
35595,2025-03-12 00:00:00,ICON,80,2100,0.041,False,400
35597,2025-03-12 00:00:00,ICON,32,1500,0.041,False,96
31554,2025-03-12 00:00:00,EVOLUTION,100,2600,0.037,False,500
31565,2025-03-12 00:00:00,EVOLUTION,100,1700,0.037,False,200
31543,2025-03-12 00:00:00,EVOLUTION,100,2000,0.037,False,200
31552,2025-03-12 00:00:00,EVOLUTION,80,2500,0.037,False,240
31729,2025-03-12 00:00:00,MONO ACCESSOIRES,150,1500,0.034,True,750
31993,2025-03-12 00:00:00,OBERON,100,2300,0.041,False,300
32001,2025-03-12 00:00:00,OCTANS,90,3000,0.041,False,270
31766,2025-03-12 00:00:00,MOULURE,80,3000,0.0032,False,720
31766,2025-03-12 00:00:00,MOULURE,80,3000,0.0032,False,80
34014,2025-03-12 00:00:00,ICON,100,3000,0.041,False,300
34016,2025-03-12 00:00:00,ICON,100,1100,0.041,False,1000
34408,2025-03-12 00:00:00,ICON,50,1000,0.041,False,100
34403,2025-03-12 00:00:00,ICON,100,2600,0.041,False,200
35574,2025-03-12 00:00:00,ICON,100,2400,0.041,False,500
35580,2025-03-12 00:00:00,ICON,100,2600,0.041,False,200
35585,2025-03-12 00:00:00,ICON,100,2400,0.041,False,800
35588,2025-03-12 00:00:00,ICON,50,2500,0.041,False,100
35596,2025-03-12 00:00:00,ICON,60,2900,0.041,False,180
35598,2025-03-12 00:00:00,ICON,32,2600,0.041,False,64
31549,2025-03-12 00:00:00,EVOLUTION,100,2800,0.037,False,200
31551,2025-03-12 00:00:00,EVOLUTION,100,1500,0.037,False,200
31723,2025-03-12 00:00:00,MONO ACCESSOIRES,200,3000,0.025,True,2000
31994,2025-03-12 00:00:00,OBERON,100,2400,0.041,False,300
31985,2025-03-12 00:00:00,OBERON,80,2300,0.041,False,160
31985,2025-03-12 00:00:00,OBERON,80,2300,0.041,False,240
32002,2025-03-12 00:00:00,OCTANS,90,1000,0.041,False,270
34013,2025-03-12 00:00:00,ICON,100,3000,0.041,False,500
34018,2025-03-12 00:00:00,ICON,100,1800,0.041,False,300
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,1000
34397,2025-03-12 00:00:00,ICON,50,1600,0.041,False,100
34395,2025-03-12 00:00:00,ICON,32,1900,0.041,False,64
35576,2025-03-12 00:00:00,ICON,100,1800,0.041,False,300
35578,2025-03-12 00:00:00,ICON,100,2600,0.041,False,200
35584,2025-03-12 00:00:00,ICON,100,2100,0.041,False,800
35586,2025-03-12 00:00:00,ICON,100,1400,0.041,False,200
38711,2025-03-12 00:00:00,MOULURE,28,1000,0.005600000000000001,False,140
31772,2025-03-12 00:00:00,MOULURE,130,1300,0.000512,False,650
31770,2025-03-12 00:00:00,MOULURE,20,1800,0.0072,False,100
31760,2025-03-12 00:00:00,MOULURE,14,2100,0.08000000000000002,False,42
31759,2025-03-12 00:00:00,MOULURE,20,1900,0.08000000000000002,False,60
31761,2025-03-12 00:00:00,MOULURE,150,1000,0.000512,False,750
34637,2025-03-12 00:00:00,MOULURE,240,1800,0.000288,False,480
31773,2025-03-12 00:00:00,MOULURE,88,1400,0.0008,False,616
31762,2025-03-12 00:00:00,MOULURE,90,2400,0.0008,False,630
32084,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2500,0.02,True,30
32079,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1500,0.027,True,18
32085,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2500,0.027,True,30
32080,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1000,0.032,True,24
32086,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,3000,0.032,True,30
32087,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2800,0.034,True,30
32088,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,30
32089,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,1600,0.02,True,15
36498,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,2800,0.05,True,15
32078,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1000,0.02,True,30
32082,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,1400,0.05,True,15
31584,2025-03-12 00:00:00,EVOLUTION PLUS,100,1700,0.034,False,200
31587,2025-03-12 00:00:00,EVOLUTION PLUS,100,1500,0.034,False,300
34016,2025-03-12 00:00:00,ICON,100,1100,0.041,False,100
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,300
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,700
34391,2025-03-12 00:00:00,ICON,50,2700,0.041,False,100
34014,2025-03-12 00:00:00,ICON,100,3000,0.041,False,300
34013,2025-03-12 00:00:00,ICON,100,3000,0.041,False,100
34403,2025-03-12 00:00:00,ICON,100,2600,0.041,False,100
34397,2025-03-12 00:00:00,ICON,50,1600,0.041,False,50
34017,2025-03-12 00:00:00,ICON,100,1500,0.041,False,100
34393,2025-03-12 00:00:00,ICON,60,2100,0.041,False,180
34392,2025-03-12 00:00:00,ICON,80,2200,0.041,False,240
32078,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1000,0.02,True,12
32081,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2900,0.034,True,12
32087,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2800,0.034,True,18
32088,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,30
32089,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,1600,0.02,True,15
31463,2025-03-12 00:00:00,DISPINA,100,3000,0.037,False,300
31449,2025-03-12 00:00:00,DISPINA,100,1600,0.037,True,100
31453,2025-03-12 00:00:00,DISPINA,60,2900,0.037,True,60
31447,2025-03-12 00:00:00,DISPINA,50,2700,0.037,True,50
31440,2025-03-12 00:00:00,DISPINA,40,1200,0.037,True,200
31441,2025-03-12 00:00:00,DISPINA,20,2000,0.037,True,100
32002,2025-03-12 00:00:00,OCTANS,90,1000,0.041,False,180
32000,2025-03-12 00:00:00,OCTANS,40,1200,0.041,False,40
31557,2025-03-12 00:00:00,EVOLUTION,100,1800,0.037,False,200
31552,2025-03-12 00:00:00,EVOLUTION,80,2500,0.037,False,160
31551,2025-03-12 00:00:00,EVOLUTION,100,1500,0.037,False,100
35584,2025-03-12 00:00:00,ICON,100,2100,0.041,False,100
35576,2025-03-12 00:00:00,ICON,100,1800,0.041,False,100
35574,2025-03-12 00:00:00,ICON,100,2400,0.041,False,200
31732,2025-03-12 00:00:00,MONO ACCESSOIRES,200,1300,0.034,True,600
31723,2025-03-12 00:00:00,MONO ACCESSOIRES,200,3000,0.025,True,400
31729,2025-03-12 00:00:00,MONO ACCESSOIRES,150,1500,0.034,True,300
31731,2025-03-12 00:00:00,MONO ACCESSOIRES,100,2200,0.034,True,200
31765,2025-03-12 00:00:00,MOULURE,60,2300,0.00128,False,240
31543,2025-03-12 00:00:00,EVOLUTION,100,2000,0.037,False,100
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,200
34015,2025-03-12 00:00:00,ICON,100,1100,0.041,False,200
34014,2025-03-12 00:00:00,ICON,100,3000,0.041,False,100
35595,2025-03-12 00:00:00,ICON,80,2100,0.041,False,160
35596,2025-03-12 00:00:00,ICON,60,2900,0.041,False,120
34392,2025-03-12 00:00:00,ICON,80,2200,0.041,False,160
35584,2025-03-12 00:00:00,ICON,100,2100,0.041,False,200
35585,2025-03-12 00:00:00,ICON,100,2400,0.041,False,200
35576,2025-03-12 00:00:00,ICON,100,1800,0.041,False,100
35574,2025-03-12 00:00:00,ICON,100,2400,0.041,False,200
35580,2025-03-12 00:00:00,ICON,100,2600,0.041,False,100
31994,2025-03-12 00:00:00,OBERON,100,2400,0.041,False,200
32079,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1500,0.027,True,6
32079,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,1500,0.027,True,12
32086,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,3000,0.032,True,24
32087,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,6,2800,0.034,True,24
32088,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,24
32089,2025-03-12 00:00:00,TABLEAUX DISTRIBUTION,3,1600,0.02,True,12
32087,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,2800,0.034,True,360
32088,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,3
32088,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,312
32088,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,9
32089,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,1600,0.02,True,39
32089,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,1600,0.02,True,72
36498,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,2800,0.05,True,15
36658,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,2500,0.034,True,30
32079,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,1500,0.027,True,120
32080,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,1000,0.032,True,90
32081,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,2900,0.034,True,90
32083,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,2800,0.02,True,60
32084,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,2500,0.02,True,180
32085,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,2500,0.027,True,360
32086,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,6,3000,0.032,True,360
32088,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,15
32088,2025-03-17 00:00:00,TABLEAUX DISTRIBUTION,3,3000,0.02,True,51
34015,2025-03-17 00:00:00,ICON,100,1100,0.041,False,0
34393,2025-03-17 00:00:00,ICON,60,2100,0.041,False,0
31760,2025-03-17 00:00:00,MOULURE,14,2100,0.08000000000000002,False,196
34013,2025-03-17 00:00:00,ICON,100,3000,0.041,False,400
34014,2025-03-17 00:00:00,ICON,100,3000,0.041,False,300
34014,2025-03-17 00:00:00,ICON,100,3000,0.041,False,0
34017,2025-03-17 00:00:00,ICON,100,1500,0.041,False,0
34017,2025-03-17 00:00:00,ICON,100,1500,0.041,False,200
34402,2025-03-17 00:00:00,ICON,50,2500,0.041,False,50
34402,2025-03-17 00:00:00,ICON,50,2500,0.041,False,0
34391,2025-03-17 00:00:00,ICON,50,2700,0.041,False,150
34391,2025-03-17 00:00:00,ICON,50,2700,0.041,False,0
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,100
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,0
34393,2025-03-17 00:00:00,ICON,60,2100,0.041,False,0
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,100
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,0
34394,2025-03-17 00:00:00,ICON,32,2900,0.041,False,32
34394,2025-03-17 00:00:00,ICON,32,2900,0.041,False,0
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,100
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,0
34018,2025-03-17 00:00:00,ICON,100,1800,0.041,False,0
31982,2025-03-17 00:00:00,SLIM LED,6,2600,4.8e-06,False,60
31778,2025-03-17 00:00:00,SPOT,10,1900,0.07,True,30
31775,2025-03-17 00:00:00,SPOT,40,1900,0.022,True,40
31775,2025-03-17 00:00:00,SPOT,40,1900,0.022,True,0
31777,2025-03-17 00:00:00,SPOT,20,2900,0.06,True,80
31780,2025-03-17 00:00:00,SPOT,60,1300,0.05,True,180
31780,2025-03-17 00:00:00,SPOT,60,1300,0.05,True,0
34393,2025-03-17 00:00:00,ICON,60,2100,0.041,False,0
34015,2025-03-17 00:00:00,ICON,100,1100,0.041,False,0
34401,2025-03-17 00:00:00,ICON,50,2300,0.041,False,0
34401,2025-03-17 00:00:00,ICON,50,2300,0.041,False,0
34015,2025-03-17 00:00:00,ICON,100,1100,0.041,False,0
34392,2025-03-17 00:00:00,ICON,80,2200,0.041,False,0
34403,2025-03-17 00:00:00,ICON,100,2600,0.041,False,0
34015,2025-03-17 00:00:00,ICON,100,1100,0.041,False,0
34395,2025-03-17 00:00:00,ICON,32,1900,0.041,False,0
34015,2025-03-17 00:00:00,ICON,100,1100,0.041,False,0
34401,2025-03-17 00:00:00,ICON,50,2300,0.041,False,0
