id_produit,forecasted_quantity,forecast_method,confidence_level,segment
37128,86,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31790,85,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38744,84,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43826,83,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
37146,82,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34015,82,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
35594,81,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31775,80,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35597,78,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35996,77,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31722,76,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31841,74,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34019,74,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31464,74,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34016,74,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
34394,74,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31796,73,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36498,73,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31801,70,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31780,69,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31549,65,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31969,64,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32003,64,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36622,61,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31447,61,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36658,59,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31568,59,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31548,58,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31772,57,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
32078,57,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31666,57,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31789,56,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31763,56,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31887,56,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31782,55,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32077,55,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34637,52,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
38711,52,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
37145,52,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31553,51,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31994,51,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31784,50,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39031,49,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39030,49,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31494,48,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31517,48,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31803,47,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35912,45,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31687,45,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38718,44,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44657,44,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36078,43,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31676,42,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31475,42,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39035,42,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44156,41,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31770,41,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35840,41,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38720,41,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
40738,39,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35602,39,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31847,39,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38907,38,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
41173,37,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31564,36,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31515,36,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34402,36,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31532,35,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34201,35,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31767,35,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34183,34,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32482,34,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31997,34,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31886,33,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35999,32,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32082,32,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31932,32,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31377,32,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34202,32,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31787,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31343,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31777,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38152,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
37151,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34203,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31855,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44046,31,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31776,30,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31472,28,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34888,28,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31579,28,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31574,28,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31706,27,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31661,27,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31678,26,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31496,26,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31589,26,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31821,25,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38781,25,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31349,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31783,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31511,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31781,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31870,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31724,24,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
36239,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31952,24,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43827,23,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31943,22,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31524,22,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31528,22,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31518,22,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31490,22,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31342,21,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31485,21,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31681,21,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31486,20,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34982,20,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31785,20,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31889,20,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32081,19,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35587,19,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31441,18,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43768,18,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43911,18,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
40905,17,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31465,17,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35598,16,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32083,16,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
40906,16,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34406,16,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31964,16,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31446,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31600,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39033,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31466,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31509,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35864,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31761,15,Random Forest,HIGH,A_VERY_HIGH_FREQ_HIGH_VOL
31672,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31588,15,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
36000,14,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31544,13,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31586,13,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34395,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34212,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31347,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44105,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31689,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31998,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44102,12,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39911,11,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
33476,11,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31512,11,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
33475,11,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34213,11,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31813,11,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31387,10,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31334,10,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34208,10,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39009,9,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44103,9,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31635,9,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39912,9,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31398,9,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
41596,9,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31794,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
39910,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44101,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31771,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
44100,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
32127,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31865,8,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
35579,7,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
33477,7,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34405,7,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
41599,7,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
41598,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43916,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31555,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34211,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34209,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31567,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31703,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31778,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43918,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43907,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
