source_floor,source_row,source_col,nearest_target,target_type,cost
1,2,31,EXH-000,exhibition,14
1,2,32,EXH-000,exhibition,14
1,2,35,EXH-000,exhibition,15
1,2,36,EXH-000,exhibition,16
1,2,37,EXH-000,exhibition,17
1,2,39,EXH-000,exhibition,19
1,2,40,EXH-000,exhibition,20
1,2,42,EXH-000,exhibition,22
1,3,1,EXH-000,exhibition,41
1,3,8,EXH-000,exhibition,34
1,3,10,EXH-000,exhibition,32
1,3,11,EXH-000,exhibition,31
1,3,13,EXH-000,exhibition,29
1,3,15,EXH-000,exhibition,27
1,3,16,EXH-000,exhibition,26
1,3,18,EXH-000,exhibition,24
1,3,19,EXH-000,exhibition,23
1,3,22,EXH-000,exhibition,20
1,3,23,EXH-000,exhibition,19
1,3,29,EXH-000,exhibition,13
1,3,30,EXH-000,exhibition,13
1,3,31,EXH-000,exhibition,13
1,3,32,EXH-000,exhibition,13
1,3,36,EXH-000,exhibition,15
1,3,37,EXH-000,exhibition,16
1,3,39,EXH-000,exhibition,18
1,3,40,EXH-000,exhibition,19
1,3,42,EXH-000,exhibition,21
1,4,1,EXH-000,exhibition,40
1,4,8,EXH-000,exhibition,33
1,4,10,EXH-000,exhibition,31
1,4,11,EXH-000,exhibition,30
1,4,13,EXH-000,exhibition,28
1,4,15,EXH-000,exhibition,26
1,4,16,EXH-000,exhibition,25
1,4,18,EXH-000,exhibition,23
1,4,19,EXH-000,exhibition,22
1,4,22,EXH-000,exhibition,19
1,4,23,EXH-000,exhibition,18
1,4,36,EXH-000,exhibition,14
1,4,37,EXH-000,exhibition,15
1,4,39,EXH-000,exhibition,17
1,4,40,EXH-000,exhibition,18
1,4,42,EXH-000,exhibition,20
1,5,1,EXH-000,exhibition,40
1,5,8,EXH-000,exhibition,33
1,5,10,EXH-000,exhibition,31
1,5,11,EXH-000,exhibition,30
1,5,13,EXH-000,exhibition,28
1,5,15,EXH-000,exhibition,26
1,5,16,EXH-000,exhibition,25
1,5,18,EXH-000,exhibition,23
1,5,19,EXH-000,exhibition,22
1,5,22,EXH-000,exhibition,19
1,5,23,EXH-000,exhibition,18
1,5,36,EXH-000,exhibition,14
1,5,37,EXH-000,exhibition,15
1,5,39,EXH-000,exhibition,17
1,5,40,EXH-000,exhibition,18
1,5,42,EXH-000,exhibition,20
1,6,1,EXH-000,exhibition,41
1,6,8,EXH-000,exhibition,33
1,6,10,EXH-000,exhibition,31
1,6,11,EXH-000,exhibition,30
1,6,13,EXH-000,exhibition,28
1,6,15,EXH-000,exhibition,26
1,6,16,EXH-000,exhibition,25
1,6,18,EXH-000,exhibition,23
1,6,19,EXH-000,exhibition,22
1,6,22,EXH-000,exhibition,19
1,6,23,EXH-000,exhibition,18
1,6,36,EXH-000,exhibition,14
1,6,37,EXH-000,exhibition,15
1,6,39,EXH-000,exhibition,17
1,6,40,EXH-000,exhibition,18
1,6,42,EXH-000,exhibition,20
1,7,1,EXH-000,exhibition,42
1,7,8,EXH-000,exhibition,33
1,7,10,EXH-000,exhibition,31
1,7,11,EXH-000,exhibition,30
1,7,13,EXH-000,exhibition,28
1,7,15,EXH-000,exhibition,26
1,7,16,EXH-000,exhibition,25
1,7,18,EXH-000,exhibition,23
1,7,19,EXH-000,exhibition,22
1,7,22,EXH-000,exhibition,19
1,7,23,EXH-000,exhibition,18
1,7,36,EXH-000,exhibition,14
1,7,37,EXH-000,exhibition,15
1,7,39,EXH-000,exhibition,17
1,7,40,EXH-000,exhibition,18
1,7,42,EXH-000,exhibition,20
1,8,1,EXH-000,exhibition,42
1,8,8,EXH-000,exhibition,34
1,8,10,EXH-000,exhibition,32
1,8,11,EXH-000,exhibition,31
1,8,13,EXH-000,exhibition,29
1,8,15,EXH-000,exhibition,27
1,8,16,EXH-000,exhibition,26
1,8,18,EXH-000,exhibition,24
1,8,19,EXH-000,exhibition,23
1,8,22,EXH-000,exhibition,20
1,8,23,EXH-000,exhibition,19
1,8,36,EXH-000,exhibition,14
1,8,37,EXH-000,exhibition,15
1,8,39,EXH-000,exhibition,17
1,8,40,EXH-000,exhibition,18
1,8,42,EXH-000,exhibition,21
1,11,1,EXH-000,exhibition,43
1,11,3,EXH-000,exhibition,41
1,11,4,EXH-000,exhibition,40
1,11,6,EXH-000,exhibition,38
1,11,8,EXH-000,exhibition,36
1,11,9,EXH-000,exhibition,35
1,11,11,EXH-000,exhibition,33
1,11,12,EXH-000,exhibition,32
1,11,14,EXH-000,exhibition,30
1,11,16,EXH-000,exhibition,28
1,11,17,EXH-000,exhibition,27
1,11,19,EXH-000,exhibition,25
1,11,20,EXH-000,exhibition,24
1,11,22,EXH-000,exhibition,22
1,11,24,EXH-000,exhibition,20
1,11,25,EXH-000,exhibition,19
1,11,27,EXH-000,exhibition,17
1,11,28,EXH-000,exhibition,16
1,11,30,EXH-000,exhibition,15
1,11,32,EXH-000,exhibition,15
1,11,33,EXH-000,exhibition,15
1,11,35,EXH-000,exhibition,16
1,11,36,EXH-000,exhibition,17
1,11,38,EXH-000,exhibition,19
1,11,39,EXH-000,exhibition,20
1,11,41,EXH-000,exhibition,22
1,11,42,EXH-000,exhibition,23
1,11,44,EXH-000,exhibition,25
1,12,1,EXH-000,exhibition,44
1,12,3,EXH-000,exhibition,42
1,12,4,EXH-000,exhibition,41
1,12,6,EXH-000,exhibition,39
1,12,8,EXH-000,exhibition,37
1,12,9,EXH-000,exhibition,36
1,12,11,EXH-000,exhibition,34
1,12,12,EXH-000,exhibition,33
1,12,14,EXH-000,exhibition,31
1,12,16,EXH-000,exhibition,29
1,12,17,EXH-000,exhibition,28
1,12,19,EXH-000,exhibition,26
1,12,20,EXH-000,exhibition,25
1,12,22,EXH-000,exhibition,23
1,12,24,EXH-000,exhibition,21
1,12,25,EXH-000,exhibition,20
1,12,27,EXH-000,exhibition,18
1,12,28,EXH-000,exhibition,17
1,12,30,EXH-000,exhibition,16
1,12,32,EXH-000,exhibition,16
1,12,33,EXH-000,exhibition,16
1,12,35,EXH-000,exhibition,17
1,12,36,EXH-000,exhibition,18
1,12,38,EXH-000,exhibition,20
1,12,39,EXH-000,exhibition,21
1,12,41,EXH-000,exhibition,23
1,12,42,EXH-000,exhibition,24
1,12,44,EXH-000,exhibition,26
1,13,1,EXH-000,exhibition,45
1,13,3,EXH-000,exhibition,43
1,13,4,EXH-000,exhibition,42
1,13,6,EXH-000,exhibition,40
1,13,8,EXH-000,exhibition,38
1,13,9,EXH-000,exhibition,37
1,13,11,EXH-000,exhibition,35
1,13,12,EXH-000,exhibition,34
1,13,14,EXH-000,exhibition,32
1,13,16,EXH-000,exhibition,30
1,13,17,EXH-000,exhibition,29
1,13,19,EXH-000,exhibition,27
1,13,20,EXH-000,exhibition,26
1,13,22,EXH-000,exhibition,24
1,13,24,EXH-000,exhibition,22
1,13,25,EXH-000,exhibition,21
1,13,27,EXH-000,exhibition,19
1,13,28,EXH-000,exhibition,18
1,13,30,EXH-000,exhibition,17
1,13,32,EXH-000,exhibition,17
1,13,33,EXH-000,exhibition,17
1,13,35,EXH-000,exhibition,18
1,13,36,EXH-000,exhibition,19
1,13,38,EXH-000,exhibition,21
1,13,39,EXH-000,exhibition,22
1,13,41,EXH-000,exhibition,24
1,13,42,EXH-000,exhibition,25
1,13,44,EXH-000,exhibition,27
1,14,1,EXH-000,exhibition,46
1,14,3,EXH-000,exhibition,44
1,14,4,EXH-000,exhibition,43
1,14,6,EXH-000,exhibition,41
1,14,8,EXH-000,exhibition,39
1,14,9,EXH-000,exhibition,38
1,14,11,EXH-000,exhibition,36
1,14,12,EXH-000,exhibition,35
1,14,14,EXH-000,exhibition,33
1,14,16,EXH-000,exhibition,31
1,14,17,EXH-000,exhibition,30
1,14,19,EXH-000,exhibition,28
1,14,20,EXH-000,exhibition,27
1,14,22,EXH-000,exhibition,25
1,14,24,EXH-000,exhibition,23
1,14,25,EXH-000,exhibition,22
1,14,27,EXH-000,exhibition,20
1,14,28,EXH-000,exhibition,19
1,14,30,EXH-000,exhibition,18
1,14,32,EXH-000,exhibition,18
1,14,33,EXH-000,exhibition,18
1,14,35,EXH-000,exhibition,19
1,14,36,EXH-000,exhibition,20
1,14,38,EXH-000,exhibition,22
1,14,39,EXH-000,exhibition,23
1,14,41,EXH-000,exhibition,25
1,14,42,EXH-000,exhibition,26
1,14,44,EXH-000,exhibition,28
1,15,1,EXH-000,exhibition,47
1,15,3,EXH-000,exhibition,45
1,15,4,EXH-000,exhibition,44
1,15,6,EXH-000,exhibition,42
1,15,8,EXH-000,exhibition,40
1,15,9,EXH-000,exhibition,39
1,15,11,EXH-000,exhibition,37
1,15,12,EXH-000,exhibition,36
1,15,14,EXH-000,exhibition,34
1,15,16,EXH-000,exhibition,32
1,15,17,EXH-000,exhibition,31
1,15,19,EXH-000,exhibition,29
1,15,20,EXH-000,exhibition,28
1,15,22,EXH-000,exhibition,26
1,15,24,EXH-000,exhibition,24
1,15,25,EXH-000,exhibition,23
1,15,27,EXH-000,exhibition,21
1,15,28,EXH-000,exhibition,20
1,15,30,EXH-000,exhibition,19
1,15,32,EXH-000,exhibition,19
1,15,33,EXH-000,exhibition,19
1,15,35,EXH-000,exhibition,20
1,15,36,EXH-000,exhibition,21
1,15,38,EXH-000,exhibition,23
1,15,39,EXH-000,exhibition,24
1,15,41,EXH-000,exhibition,26
1,15,42,EXH-000,exhibition,27
1,15,44,EXH-000,exhibition,29
1,16,1,EXH-000,exhibition,48
1,16,3,EXH-000,exhibition,46
1,16,4,EXH-000,exhibition,45
1,16,6,EXH-000,exhibition,43
1,16,8,EXH-000,exhibition,41
1,16,9,EXH-000,exhibition,40
1,16,11,EXH-000,exhibition,38
1,16,12,EXH-000,exhibition,37
1,16,14,EXH-000,exhibition,35
1,16,16,EXH-000,exhibition,33
1,16,17,EXH-000,exhibition,32
1,16,19,EXH-000,exhibition,30
1,16,20,EXH-000,exhibition,29
1,16,22,EXH-000,exhibition,27
1,16,24,EXH-000,exhibition,25
1,16,25,EXH-000,exhibition,24
1,16,27,EXH-000,exhibition,22
1,16,28,EXH-000,exhibition,21
1,16,30,EXH-000,exhibition,20
1,16,32,EXH-000,exhibition,20
1,16,33,EXH-000,exhibition,20
1,16,35,EXH-000,exhibition,21
1,16,36,EXH-000,exhibition,22
1,16,38,EXH-000,exhibition,24
1,16,39,EXH-000,exhibition,25
1,16,41,EXH-000,exhibition,27
1,16,42,EXH-000,exhibition,28
1,16,44,EXH-000,exhibition,30
1,17,1,EXH-000,exhibition,49
1,17,3,EXH-000,exhibition,47
1,17,4,EXH-000,exhibition,46
1,17,6,EXH-000,exhibition,44
1,17,8,EXH-000,exhibition,42
1,17,9,EXH-000,exhibition,41
1,17,11,EXH-000,exhibition,39
1,17,12,EXH-000,exhibition,38
1,17,14,EXH-000,exhibition,36
1,17,16,EXH-000,exhibition,34
1,17,17,EXH-000,exhibition,33
1,17,19,EXH-000,exhibition,31
1,17,20,EXH-000,exhibition,30
1,17,22,EXH-000,exhibition,28
1,17,24,EXH-000,exhibition,26
1,17,25,EXH-000,exhibition,25
1,17,27,EXH-000,exhibition,23
1,17,28,EXH-000,exhibition,22
1,17,30,EXH-000,exhibition,21
1,17,32,EXH-000,exhibition,21
1,17,33,EXH-000,exhibition,21
1,17,35,EXH-000,exhibition,22
1,17,36,EXH-000,exhibition,23
1,17,38,EXH-000,exhibition,25
1,17,39,EXH-000,exhibition,26
1,17,41,EXH-000,exhibition,28
1,17,42,EXH-000,exhibition,29
1,17,44,EXH-000,exhibition,31
1,18,1,EXH-000,exhibition,50
1,18,3,EXH-000,exhibition,48
1,18,4,EXH-000,exhibition,47
1,18,6,EXH-000,exhibition,45
1,18,8,EXH-000,exhibition,43
1,18,9,EXH-000,exhibition,42
1,18,11,EXH-000,exhibition,40
1,18,12,EXH-000,exhibition,39
1,18,14,EXH-000,exhibition,37
1,18,16,EXH-000,exhibition,35
1,18,17,EXH-000,exhibition,34
1,18,19,EXH-000,exhibition,32
1,18,20,EXH-000,exhibition,31
1,18,22,EXH-000,exhibition,29
1,18,24,EXH-000,exhibition,27
1,18,25,EXH-000,exhibition,26
1,18,27,EXH-000,exhibition,24
1,18,28,EXH-000,exhibition,23
1,18,30,EXH-000,exhibition,22
1,18,32,EXH-000,exhibition,22
1,18,33,EXH-000,exhibition,22
1,18,35,EXH-000,exhibition,23
1,18,36,EXH-000,exhibition,24
1,18,38,EXH-000,exhibition,26
1,18,39,EXH-000,exhibition,27
1,18,41,EXH-000,exhibition,29
1,18,42,EXH-000,exhibition,30
1,18,44,EXH-000,exhibition,32
1,22,1,EXH-000,exhibition,54
1,22,3,EXH-000,exhibition,52
1,22,4,EXH-000,exhibition,51
1,22,6,EXH-000,exhibition,49
1,22,8,EXH-000,exhibition,47
1,22,9,EXH-000,exhibition,46
1,22,11,EXH-000,exhibition,44
1,22,12,EXH-000,exhibition,43
1,22,14,EXH-000,exhibition,41
1,22,16,EXH-000,exhibition,39
1,22,17,EXH-000,exhibition,38
1,22,19,EXH-000,exhibition,36
1,22,20,EXH-000,exhibition,35
1,22,22,EXH-000,exhibition,33
1,22,24,EXH-000,exhibition,31
1,22,25,EXH-000,exhibition,30
1,22,27,EXH-000,exhibition,28
1,22,28,EXH-000,exhibition,27
1,22,30,EXH-000,exhibition,26
1,22,32,EXH-000,exhibition,26
1,22,33,EXH-000,exhibition,26
1,22,35,EXH-000,exhibition,27
1,22,36,EXH-000,exhibition,28
1,22,38,EXH-000,exhibition,30
1,22,39,EXH-000,exhibition,31
1,22,41,EXH-000,exhibition,33
1,22,42,EXH-000,exhibition,34
1,22,44,EXH-000,exhibition,36
1,23,1,EXH-000,exhibition,55
1,23,3,EXH-000,exhibition,53
1,23,4,EXH-000,exhibition,52
1,23,6,EXH-000,exhibition,50
1,23,8,EXH-000,exhibition,48
1,23,9,EXH-000,exhibition,47
1,23,11,EXH-000,exhibition,45
1,23,12,EXH-000,exhibition,44
1,23,14,EXH-000,exhibition,42
1,23,16,EXH-000,exhibition,40
1,23,17,EXH-000,exhibition,39
1,23,19,EXH-000,exhibition,37
1,23,20,EXH-000,exhibition,36
1,23,22,EXH-000,exhibition,34
1,23,24,EXH-000,exhibition,32
1,23,25,EXH-000,exhibition,31
1,23,27,EXH-000,exhibition,29
1,23,28,EXH-000,exhibition,28
1,23,30,EXH-000,exhibition,27
1,23,32,EXH-000,exhibition,27
1,23,33,EXH-000,exhibition,27
1,23,35,EXH-000,exhibition,28
1,23,36,EXH-000,exhibition,29
1,23,38,EXH-000,exhibition,31
1,23,39,EXH-000,exhibition,32
1,23,41,EXH-000,exhibition,34
1,23,42,EXH-000,exhibition,35
1,23,44,EXH-000,exhibition,37
1,24,1,EXH-000,exhibition,56
1,24,3,EXH-000,exhibition,54
1,24,4,EXH-000,exhibition,53
1,24,6,EXH-000,exhibition,51
1,24,8,EXH-000,exhibition,49
1,24,9,EXH-000,exhibition,48
1,24,11,EXH-000,exhibition,46
1,24,12,EXH-000,exhibition,45
1,24,14,EXH-000,exhibition,43
1,24,16,EXH-000,exhibition,41
1,24,17,EXH-000,exhibition,40
1,24,19,EXH-000,exhibition,38
1,24,20,EXH-000,exhibition,37
1,24,22,EXH-000,exhibition,35
1,24,24,EXH-000,exhibition,33
1,24,25,EXH-000,exhibition,32
1,24,27,EXH-000,exhibition,30
1,24,28,EXH-000,exhibition,29
1,24,30,EXH-000,exhibition,28
1,24,32,EXH-000,exhibition,28
1,24,33,EXH-000,exhibition,28
1,24,35,EXH-000,exhibition,29
1,24,36,EXH-000,exhibition,30
1,24,38,EXH-000,exhibition,32
1,24,39,EXH-000,exhibition,33
1,24,41,EXH-000,exhibition,35
1,24,42,EXH-000,exhibition,36
1,24,44,EXH-000,exhibition,38
1,25,1,EXH-000,exhibition,57
1,25,3,EXH-000,exhibition,55
1,25,4,EXH-000,exhibition,54
1,25,6,EXH-000,exhibition,52
1,25,8,EXH-000,exhibition,50
1,25,9,EXH-000,exhibition,49
1,25,11,EXH-000,exhibition,47
1,25,12,EXH-000,exhibition,46
1,25,14,EXH-000,exhibition,44
1,25,16,EXH-000,exhibition,42
1,25,17,EXH-000,exhibition,41
1,25,19,EXH-000,exhibition,39
1,25,20,EXH-000,exhibition,38
1,25,22,EXH-000,exhibition,36
1,25,24,EXH-000,exhibition,34
1,25,25,EXH-000,exhibition,33
1,25,27,EXH-000,exhibition,31
1,25,28,EXH-000,exhibition,30
1,25,30,EXH-000,exhibition,29
1,25,32,EXH-000,exhibition,29
1,25,33,EXH-000,exhibition,29
1,25,35,EXH-000,exhibition,30
1,25,36,EXH-000,exhibition,31
1,25,38,EXH-000,exhibition,33
1,25,39,EXH-000,exhibition,34
1,25,41,EXH-000,exhibition,36
1,25,42,EXH-000,exhibition,37
1,25,44,EXH-000,exhibition,39
1,26,1,EXH-000,exhibition,58
1,26,3,EXH-000,exhibition,56
1,26,4,EXH-000,exhibition,55
1,26,6,EXH-000,exhibition,53
1,26,8,EXH-000,exhibition,51
1,26,9,EXH-000,exhibition,50
1,26,11,EXH-000,exhibition,48
1,26,12,EXH-000,exhibition,47
1,26,14,EXH-000,exhibition,45
1,26,16,EXH-000,exhibition,43
1,26,17,EXH-000,exhibition,42
1,26,19,EXH-000,exhibition,40
1,26,20,EXH-000,exhibition,39
1,26,22,EXH-000,exhibition,37
1,26,24,EXH-000,exhibition,35
1,26,25,EXH-000,exhibition,34
1,26,27,EXH-000,exhibition,32
1,26,28,EXH-000,exhibition,31
1,26,30,EXH-000,exhibition,30
1,26,32,EXH-000,exhibition,30
1,26,33,EXH-000,exhibition,30
1,26,35,EXH-000,exhibition,31
1,26,36,EXH-000,exhibition,32
1,26,38,EXH-000,exhibition,34
1,26,39,EXH-000,exhibition,35
1,26,41,EXH-000,exhibition,37
1,26,42,EXH-000,exhibition,38
1,26,44,EXH-000,exhibition,40
1,27,1,EXH-000,exhibition,59
1,27,3,EXH-000,exhibition,57
1,27,4,EXH-000,exhibition,56
1,27,6,EXH-000,exhibition,54
1,27,8,EXH-000,exhibition,52
1,27,9,EXH-000,exhibition,51
1,27,11,EXH-000,exhibition,49
1,27,12,EXH-000,exhibition,48
1,27,14,EXH-000,exhibition,46
1,27,16,EXH-000,exhibition,44
1,27,17,EXH-000,exhibition,43
1,27,19,EXH-000,exhibition,41
1,27,20,EXH-000,exhibition,40
1,27,22,EXH-000,exhibition,38
1,27,24,EXH-000,exhibition,36
1,27,25,EXH-000,exhibition,35
1,27,27,EXH-000,exhibition,33
1,27,28,EXH-000,exhibition,32
1,27,30,EXH-000,exhibition,31
1,27,32,EXH-000,exhibition,31
1,27,33,EXH-000,exhibition,31
1,27,35,EXH-000,exhibition,32
1,27,36,EXH-000,exhibition,33
1,27,38,EXH-000,exhibition,35
1,27,39,EXH-000,exhibition,36
1,27,41,EXH-000,exhibition,38
1,27,42,EXH-000,exhibition,39
1,27,44,EXH-000,exhibition,41
1,28,1,EXH-000,exhibition,60
1,28,3,EXH-000,exhibition,58
1,28,4,EXH-000,exhibition,57
1,28,6,EXH-000,exhibition,55
1,28,8,EXH-000,exhibition,53
1,28,9,EXH-000,exhibition,52
1,28,11,EXH-000,exhibition,50
1,28,12,EXH-000,exhibition,49
1,28,14,EXH-000,exhibition,47
1,28,16,EXH-000,exhibition,45
1,28,17,EXH-000,exhibition,44
1,28,19,EXH-000,exhibition,42
1,28,20,EXH-000,exhibition,41
1,28,22,EXH-000,exhibition,39
1,28,24,EXH-000,exhibition,37
1,28,25,EXH-000,exhibition,36
1,28,27,EXH-000,exhibition,34
1,28,28,EXH-000,exhibition,33
1,28,30,EXH-000,exhibition,32
1,28,32,EXH-000,exhibition,32
1,28,33,EXH-000,exhibition,32
1,28,35,EXH-000,exhibition,33
1,28,36,EXH-000,exhibition,34
1,28,38,EXH-000,exhibition,36
1,28,39,EXH-000,exhibition,37
1,28,41,EXH-000,exhibition,39
1,28,42,EXH-000,exhibition,40
1,28,44,EXH-000,exhibition,42
1,29,1,EXH-000,exhibition,61
1,29,3,EXH-000,exhibition,59
1,29,4,EXH-000,exhibition,58
1,29,6,EXH-000,exhibition,56
1,29,8,EXH-000,exhibition,54
1,29,9,EXH-000,exhibition,53
1,29,11,EXH-000,exhibition,51
1,29,12,EXH-000,exhibition,50
1,29,14,EXH-000,exhibition,48
1,29,16,EXH-000,exhibition,46
1,29,17,EXH-000,exhibition,45
1,29,19,EXH-000,exhibition,43
1,29,20,EXH-000,exhibition,42
1,29,22,EXH-000,exhibition,40
1,29,24,EXH-000,exhibition,38
1,29,25,EXH-000,exhibition,37
1,29,27,EXH-000,exhibition,35
1,29,28,EXH-000,exhibition,34
1,29,30,EXH-000,exhibition,33
1,29,32,EXH-000,exhibition,33
1,29,33,EXH-000,exhibition,33
1,29,35,EXH-000,exhibition,34
1,29,36,EXH-000,exhibition,35
1,29,38,EXH-000,exhibition,37
1,29,39,EXH-000,exhibition,38
1,29,41,EXH-000,exhibition,40
1,29,42,EXH-000,exhibition,41
1,29,44,EXH-000,exhibition,43
2,0,1,EXH-000,exhibition,54
2,0,8,EXH-000,exhibition,47
2,0,10,EXH-000,exhibition,45
2,0,11,EXH-000,exhibition,44
2,0,13,EXH-000,exhibition,42
2,0,15,EXH-000,exhibition,40
2,0,16,EXH-000,exhibition,39
2,0,18,EXH-000,exhibition,37
2,0,19,EXH-000,exhibition,36
2,0,22,EXH-000,exhibition,33
2,0,23,EXH-000,exhibition,32
2,0,35,EXH-000,exhibition,27
2,0,36,EXH-000,exhibition,28
2,0,37,EXH-000,exhibition,29
2,0,39,EXH-000,exhibition,31
2,0,40,EXH-000,exhibition,32
2,0,42,EXH-000,exhibition,34
2,1,1,EXH-000,exhibition,53
2,1,2,EXH-000,exhibition,52
2,1,3,EXH-000,exhibition,51
2,1,4,EXH-000,exhibition,50
2,1,5,EXH-000,exhibition,49
2,1,6,EXH-000,exhibition,48
2,1,8,EXH-000,exhibition,46
2,1,10,EXH-000,exhibition,44
2,1,11,EXH-000,exhibition,43
2,1,13,EXH-000,exhibition,41
2,1,15,EXH-000,exhibition,39
2,1,16,EXH-000,exhibition,38
2,1,18,EXH-000,exhibition,36
2,1,19,EXH-000,exhibition,35
2,1,22,EXH-000,exhibition,32
2,1,23,EXH-000,exhibition,31
2,1,24,EXH-000,exhibition,30
2,1,25,EXH-000,exhibition,29
2,1,26,EXH-000,exhibition,28
2,1,27,EXH-000,exhibition,27
2,1,28,EXH-000,exhibition,26
2,1,29,EXH-000,exhibition,25
2,1,30,EXH-000,exhibition,25
2,1,31,EXH-000,exhibition,25
2,1,32,EXH-000,exhibition,25
2,1,35,EXH-000,exhibition,26
2,1,36,EXH-000,exhibition,27
2,1,37,EXH-000,exhibition,28
2,1,39,EXH-000,exhibition,30
2,1,40,EXH-000,exhibition,31
2,1,42,EXH-000,exhibition,33
2,2,1,EXH-000,exhibition,52
2,2,8,EXH-000,exhibition,45
2,2,10,EXH-000,exhibition,43
2,2,11,EXH-000,exhibition,42
2,2,13,EXH-000,exhibition,40
2,2,15,EXH-000,exhibition,38
2,2,16,EXH-000,exhibition,37
2,2,18,EXH-000,exhibition,35
2,2,19,EXH-000,exhibition,34
2,2,22,EXH-000,exhibition,31
2,2,23,EXH-000,exhibition,30
2,2,29,EXH-000,exhibition,24
2,2,30,EXH-000,exhibition,24
2,2,31,EXH-000,exhibition,24
2,2,32,EXH-000,exhibition,24
2,2,35,EXH-000,exhibition,25
2,2,36,EXH-000,exhibition,26
2,2,37,EXH-000,exhibition,27
2,2,39,EXH-000,exhibition,29
2,2,40,EXH-000,exhibition,30
2,2,42,EXH-000,exhibition,32
2,3,1,EXH-000,exhibition,51
2,3,8,EXH-000,exhibition,44
2,3,10,EXH-000,exhibition,42
2,3,11,EXH-000,exhibition,41
2,3,13,EXH-000,exhibition,39
2,3,15,EXH-000,exhibition,37
2,3,16,EXH-000,exhibition,36
2,3,18,EXH-000,exhibition,34
2,3,19,EXH-000,exhibition,33
2,3,22,EXH-000,exhibition,30
2,3,23,EXH-000,exhibition,29
2,3,29,EXH-000,exhibition,23
2,3,30,EXH-000,exhibition,23
2,3,31,EXH-000,exhibition,23
2,3,32,EXH-000,exhibition,23
2,3,36,EXH-000,exhibition,25
2,3,37,EXH-000,exhibition,26
2,3,39,EXH-000,exhibition,28
2,3,40,EXH-000,exhibition,29
2,3,42,EXH-000,exhibition,31
2,4,1,EXH-000,exhibition,50
2,4,8,EXH-000,exhibition,43
2,4,10,EXH-000,exhibition,41
2,4,11,EXH-000,exhibition,40
2,4,13,EXH-000,exhibition,38
2,4,15,EXH-000,exhibition,36
2,4,16,EXH-000,exhibition,35
2,4,18,EXH-000,exhibition,33
2,4,19,EXH-000,exhibition,32
2,4,22,EXH-000,exhibition,29
2,4,23,EXH-000,exhibition,28
2,4,36,EXH-000,exhibition,24
2,4,37,EXH-000,exhibition,25
2,4,39,EXH-000,exhibition,27
2,4,40,EXH-000,exhibition,28
2,4,42,EXH-000,exhibition,30
2,5,1,EXH-000,exhibition,50
2,5,8,EXH-000,exhibition,43
2,5,10,EXH-000,exhibition,41
2,5,11,EXH-000,exhibition,40
2,5,13,EXH-000,exhibition,38
2,5,15,EXH-000,exhibition,36
2,5,16,EXH-000,exhibition,35
2,5,18,EXH-000,exhibition,33
2,5,19,EXH-000,exhibition,32
2,5,22,EXH-000,exhibition,29
2,5,23,EXH-000,exhibition,28
2,5,36,EXH-000,exhibition,24
