id_produit,date,segment,quantite_demande,forecast,method,forecast_original,calibration_factor
32080,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,30,31.564592734240406,XGBoost+LogTransform,26.645830154418945,1.184597835808307
32084,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,48,50.577597223206126,XGBoost+LogTransform,42.696006774902344,1.184597835808307
32085,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,48,29.175324188223996,XGBoost+LogTransform,24.62888526916504,1.184597835808307
34013,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,300,271.1780982531172,XGBoost+LogTransform,228.9199676513672,1.184597835808307
34014,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,100,200.93326860295744,XGBoost+LogTransform,169.6215057373047,1.184597835808307
34015,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,500,605.263843778531,XGBoost+LogTransform,510.944580078125,1.184597835808307
34016,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,700,776.5565896134526,XGBoost+LogTransform,655.5444946289062,1.184597835808307
34017,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,100,181.905322430245,XGBoost+LogTransform,153.5587158203125,1.184597835808307
34018,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,243.6850386485824,XGBoost+LogTransform,205.71119689941406,1.184597835808307
34403,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,111.67220572255357,XGBoost+LogTransform,94.2701416015625,1.184597835808307
34408,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,50,18.044140345251858,XGBoost+LogTransform,15.232292175292969,1.184597835808307
35574,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,500,345.5536380538521,XGBoost+LogTransform,291.7054443359375,1.184597835808307
35576,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,360.77504060411724,XGBoost+LogTransform,304.55487060546875,1.184597835808307
35580,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,283.3855510301531,XGBoost+LogTransform,239.22511291503906,1.184597835808307
35584,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,500,594.2726933142933,XGBoost+LogTransform,501.66619873046875,1.184597835808307
35585,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,361.4560542159018,XGBoost+LogTransform,305.1297607421875,1.184597835808307
35586,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,200,160.35632807098332,XGBoost+LogTransform,135.36773681640625,1.184597835808307
36155,2026-01-08 12:10:40,A_HIGH_FREQ_HIGH_VOL,24,22.35681910068254,XGBoost+LogTransform,18.8729190826416,1.184597835808307
32078,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,30,24.30674611040703,XGBoost+LogTransform,20.518985748291016,1.184597835808307
32081,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,30,18.952950804963894,XGBoost+LogTransform,15.999481201171875,1.184597835808307
32082,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,27,22.769185170128534,XGBoost+LogTransform,19.221025466918945,1.184597835808307
32083,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,12,6.400680208488312,XGBoost+LogTransform,5.403251647949219,1.184597835808307
36498,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,24,19.865787588649415,XGBoost+LogTransform,16.770069122314453,1.184597835808307
36658,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,18,22.784569704323516,XGBoost+LogTransform,19.234012603759766,1.184597835808307
38744,2026-01-08 12:10:40,B_HIGH_FREQ_LOW_VOL,18,35.70578669134585,XGBoost+LogTransform,30.141695022583008,1.184597835808307
35996,2026-01-08 12:10:40,C_MEDIUM_FREQ,100,86.47564201400641,Baseline_30day_Average,73.0,1.184597835808307
35997,2026-01-08 12:10:40,C_MEDIUM_FREQ,100,169.3974905205879,Baseline_30day_Average,143.0,1.184597835808307
35998,2026-01-08 12:10:40,C_MEDIUM_FREQ,100,123.19817492406392,Baseline_30day_Average,104.0,1.184597835808307
44046,2026-01-08 12:10:40,D_LOW_FREQ,160,90.64542639605165,Croston_Method,76.52,1.184597835808307
