seq,product_id,abc_class,volume_m3,emplacement_code,floor,cost,remaining_m3,walk_distance,timestamp,position_row,position_col
62,35596,A,0.041,B07-N2-A7,2,0.026035045577728504,2497.8450129999974,1,2026-02-13T15:57:16.374365,3,29
63,35586,A,0.041,B07-N2-A7,2,0.028257267799950726,2497.804012999997,1,2026-02-13T15:57:16.374365,3,29
64,31688,A,0.041,B07-N2-A7,2,0.025115354443018115,2497.763012999997,1,2026-02-13T15:57:16.374365,3,29
65,31595,A,0.037,B07-N2-A7,2,0.025921863046381662,2497.7260129999972,1,2026-02-13T15:57:16.374365,3,29
66,32086,A,0.032,B07-N2-A7,2,0.029373779515307116,2497.694012999997,1,2026-02-13T15:57:16.374365,3,29
67,31866,A,0.037,B07-N2-A7,2,0.02446155392175931,2497.6570129999973,1,2026-02-13T15:57:16.374365,3,29
68,31727,A,0.034,B07-N2-A7,2,0.022615386859610224,2497.623012999997,1,2026-02-13T15:57:16.374365,3,29
69,32002,A,0.041,B07-N2-A7,2,0.02689993646347947,2497.582012999997,1,2026-02-13T15:57:16.374365,3,29
70,32088,A,0.02,B07-N2-A7,2,0.03166778114910336,2497.562012999997,1,2026-02-13T15:57:16.374365,3,29
71,31763,A,0.00125,B07-N2-A7,2,0.02313020707719039,2497.560762999997,1,2026-02-13T15:57:16.374365,3,29
72,31449,A,0.037,B07-N2-A7,2,0.024064992025518345,2497.5237629999974,1,2026-02-13T15:57:16.374365,3,29
73,31482,A,0.037,B07-N2-A7,2,0.023088101814032494,2497.4867629999976,1,2026-02-13T15:57:16.374365,3,29
74,32087,A,0.034,B07-N2-A7,2,0.029183155042076737,2497.4527629999975,1,2026-02-13T15:57:16.374365,3,29
75,31733,A,0.034,B07-N2-A7,2,0.026674472582046395,2497.4187629999974,1,2026-02-13T15:57:16.374365,3,29
76,31440,A,0.037,B07-N2-A7,2,0.022501737529337016,2497.3817629999976,1,2026-02-13T15:57:16.374365,3,29
77,44486,A,0.041,B07-N2-A7,2,0.024847911074804527,2497.3407629999974,1,2026-02-13T15:57:16.374365,3,29
78,31552,A,0.037,B07-N2-A7,2,0.025793992557150452,2497.3037629999976,1,2026-02-13T15:57:16.374365,3,29
79,31951,A,0.037,B07-N2-A7,2,0.021873828140195277,2497.266762999998,1,2026-02-13T15:57:16.374365,3,29
80,31494,A,0.037,B07-N2-A7,2,0.02255473541577521,2497.229762999998,1,2026-02-13T15:57:16.374365,3,29
81,31767,A,0.0048,B07-N2-A7,2,0.0235211226514179,2497.224962999998,1,2026-02-13T15:57:16.374365,3,29
82,32001,A,0.041,B07-N2-A7,2,0.02461099441137952,2497.1839629999977,1,2026-02-13T15:57:16.374365,3,29
83,32000,A,0.041,B07-N2-A7,2,0.026135971395599124,2497.1429629999975,1,2026-02-13T15:57:16.374365,3,29
84,31953,A,0.037,B07-N2-A7,2,0.02222187536468666,2497.1059629999977,1,2026-02-13T15:57:16.374365,3,29
85,31754,A,0.038,B07-N2-A7,2,0.023461605788306687,2497.0679629999977,1,2026-02-13T15:57:16.374365,3,29
86,31556,A,0.037,B07-N2-A7,2,0.023428929863461314,2497.030962999998,1,2026-02-13T15:57:16.374365,3,29
87,44489,A,0.041,B07-N2-A7,2,0.024118706318642134,2496.9899629999977,1,2026-02-13T15:57:16.374365,3,29
88,31698,A,0.041,B07-N2-A7,2,0.02173658925584471,2496.9489629999975,1,2026-02-13T15:57:16.374365,3,29
89,32076,A,0.025,B07-N2-A7,2,0.023226556320587132,2496.9239629999975,1,2026-02-13T15:57:16.374365,3,29
90,31848,A,0.037,B07-N2-A7,2,0.023204149972121734,2496.8869629999976,1,2026-02-13T15:57:16.374365,3,29
91,31647,A,0.041,B07-N2-A7,2,0.022354011877439347,2496.8459629999975,1,2026-02-13T15:57:16.374365,3,29
92,31501,A,0.037,B07-N2-A7,2,0.02094831822720141,2496.8089629999977,1,2026-02-13T15:57:16.374365,3,29
93,31992,A,0.041,B07-N2-A7,2,0.023152335291295498,2496.7679629999975,1,2026-02-13T15:57:16.374365,3,29
94,31437,A,0.037,B07-N2-A7,2,0.023131329339609187,2496.7309629999977,1,2026-02-13T15:57:16.374365,3,29
95,31770,A,0.0072,B07-N2-A7,2,0.022681986748097144,2496.7237629999977,1,2026-02-13T15:57:16.374365,3,29
96,34982,A,0.0048,B07-N2-A7,2,0.02225971849431413,2496.7189629999975,1,2026-02-13T15:57:16.374365,3,29
97,39907,A,0.06,B07-N2-A7,2,0.026976339129420004,2496.6589629999976,1,2026-02-13T15:57:16.374365,3,29
98,31799,A,0.037,B07-N2-A7,2,0.02349057973833327,2496.621962999998,1,2026-02-13T15:57:16.374365,3,29
99,31594,A,0.034,B07-N2-A7,2,0.0225127559289947,2496.5879629999977,1,2026-02-13T15:57:16.374365,3,29
100,31798,A,0.037,B07-N2-A7,2,0.023473774976984222,2496.550962999998,1,2026-02-13T15:57:16.374365,3,29
