id_produit,sku,nom_produit,unite_mesure,categorie,actif,colisage fardeau,colisage palette,volume pcs (m3),Poids(kg),Is_Gerbable
34842,,,Unité(s),Tous,True,1,2600,0.034,0,True
31422,,,Unité(s),MINI DISJONCTEUR,True,1,2600,0.034,0,True
31423,,,Unité(s),MINI DISJONCTEUR,True,1,1200,0.034,0,True
34945,,,Unité(s),MINI DISJONCTEUR,True,1,3000,0.034,0,True
34946,,,Unité(s),MINI DISJONCTEUR,True,1,1400,0.034,0,True
31424,,,Unité(s),MINI DISJONCTEUR,True,1,2700,0.034,0,True
31425,,,Unité(s),MINI DISJONCTEUR,True,1,1100,0.034,0,True
31426,,,Unité(s),MINI DISJONCTEUR,True,1,2200,0.034,0,True
34948,,,Unité(s),MINI DISJONCTEUR,True,1,1700,0.034,0,True
34949,,,Unité(s),MINI DISJONCTEUR,True,1,1100,0.034,0,True
31429,,,Unité(s),MINI DISJONCTEUR,True,1,2200,0.034,0,True
34950,,,Unité(s),MINI DISJONCTEUR,True,1,1800,0.034,0,True
31430,,,Unité(s),MINI DISJONCTEUR,True,1,2600,0.034,0,True
31427,,,Unité(s),MINI DISJONCTEUR,True,1,2300,0.034,0,True
31428,,,Unité(s),MINI DISJONCTEUR,True,1,1000,0.034,0,True
34947,,,Unité(s),MINI DISJONCTEUR,True,1,2900,0.034,0,True
31431,,,Unité(s),DPN,True,1,2700,0.034,0,True
31432,,,Unité(s),DPN,True,1,2300,0.034,0,True
31433,,,Unité(s),DPN,True,1,2100,0.034,0,True
45732,,,Unité(s),ICON,True,1,2500,0.034,0,True
43991,,,Unité(s),Tous,True,1,1300,0.034,0,True
31434,,,Unité(s),DISPINA,True,50,1200,0.037,0,True
31435,,,Unité(s),DISPINA,True,50,1300,0.037,0,True
31436,,,Unité(s),DISPINA,True,50,2700,0.037,0,True
41380,,,Unité(s),OCTANS,True,1,2800,0.037,0,True
38141,,,Unité(s),DISPINA,True,1,2700,0.037,0,True
38142,,,Unité(s),DISPINA,True,1,1100,0.037,0,True
31437,,,Unité(s),DISPINA,True,100,1000,0.037,0,True
41372,,,Unité(s),DISPINA,True,100,1200,0.037,0,True
41383,,,Unité(s),DISPINA,True,1,2200,0.037,0,True
31438,,,Unité(s),DISPINA,True,50,1900,0.037,0,True
41381,,,Unité(s),DISPINA,True,1,3000,0.037,0,True
38140,,,Unité(s),DISPINA,True,1,1300,0.037,0,True
38134,,,Unité(s),DISPINA,True,1,2400,0.037,0,True
31439,,,Unité(s),DISPINA,True,1,1000,0.037,0,True
31440,,,Unité(s),DISPINA,True,40,1200,0.037,0,True
31441,,,Unité(s),DISPINA,True,20,2000,0.037,0,True
31442,,,Unité(s),DISPINA,True,20,1800,0.037,0,True
31443,,,Unité(s),DISPINA,True,20,2500,0.037,0,True
36222,,,Unité(s),DISPINA,True,1,2300,0.037,0,True
31444,,,Unité(s),DISPINA,True,100,2500,0.037,0,True
33028,,,Unité(s),DISPINA,True,100,2300,0.037,0,True
33029,,,Unité(s),DISPINA,True,100,2100,0.037,0,True
33030,,,Unité(s),DISPINA,True,100,2700,0.037,0,True
31445,,,Unité(s),DISPINA,True,40,2900,0.037,0,True
33031,,,Unité(s),DISPINA,True,100,1900,0.037,0,True
33032,,,Unité(s),DISPINA,True,50,2000,0.037,0,True
33033,,,Unité(s),DISPINA,True,1,1400,0.037,0,True
33034,,,Unité(s),DISPINA,True,100,1300,0.037,0,True
33035,,,Unité(s),DISPINA,True,100,1000,0.037,0,True
34884,,,Unité(s),DISPINA,True,1,1600,0.037,0,True
33036,,,Unité(s),DISPINA,True,1,2700,0.037,0,True
33037,,,Unité(s),DISPINA,True,1,2300,0.037,0,True
33038,,,Unité(s),DISPINA,True,50,2200,0.037,0,True
33039,,,Unité(s),DISPINA,True,1,2100,0.037,0,True
33040,,,Unité(s),DISPINA,True,50,1100,0.037,0,True
33041,,,Unité(s),DISPINA,True,100,1200,0.037,0,True
33042,,,Unité(s),DISPINA,True,100,1700,0.037,0,True
33043,,,Unité(s),DISPINA,True,100,1300,0.037,0,True
34867,,,Unité(s),DISPINA,True,100,2200,0.037,0,True
33044,,,Unité(s),DISPINA,True,100,2200,0.037,0,True
33045,,,Unité(s),DISPINA,True,100,1000,0.037,0,True
31446,,,Unité(s),DISPINA,True,100,1300,0.037,0,True
33046,,,Unité(s),DISPINA,True,100,2800,0.037,0,True
33047,,,Unité(s),DISPINA,True,100,2400,0.037,0,True
34175,,,Unité(s),DISPINA,True,100,2400,0.037,0,True
33048,,,Unité(s),DISPINA,True,50,2800,0.037,0,True
33049,,,Unité(s),DISPINA,True,50,2900,0.037,0,True
33050,,,Unité(s),DISPINA,True,1,2500,0.037,0,True
33051,,,Unité(s),DISPINA,True,1,1000,0.037,0,True
33052,,,Unité(s),DISPINA,True,1,1600,0.037,0,True
31447,,,Unité(s),DISPINA,True,50,2700,0.037,0,True
31448,,,Unité(s),DISPINA,True,50,1200,0.037,0,True
33053,,,Unité(s),DISPINA,True,100,2200,0.037,0,True
33054,,,Unité(s),DISPINA,True,100,2700,0.037,0,True
31449,,,Unité(s),DISPINA,True,100,1600,0.037,0,True
31450,,,Unité(s),DISPINA,True,50,1900,0.037,0,True
42236,,,Unité(s),DISPINA,True,50,2300,0.037,0,True
36225,,,Unité(s),DISPINA,True,1,2200,0.037,0,True
44500,,,Unité(s),DISPINA,True,1,1000,0.037,0,True
38100,,,Unité(s),DISPINA,True,1,1200,0.037,0,True
45662,,,Unité(s),DISPINA,True,1,1900,0.037,0,True
31451,,,Unité(s),DISPINA,True,80,1000,0.037,0,True
31452,,,Unité(s),DISPINA,True,50,2900,0.037,0,True
33559,,,Unité(s),DISPINA,True,30,1300,0.037,0,True
31453,,,Unité(s),DISPINA,True,60,2900,0.037,0,True
31454,,,Unité(s),DISPINA,True,50,2400,0.037,0,True
31455,,,Unité(s),DISPINA,True,50,1300,0.037,0,True
31456,,,Unité(s),DISPINA,True,50,1900,0.037,0,True
31457,,,Unité(s),DISPINA,True,40,1700,0.037,0,True
39479,,,Unité(s),DISPINA,True,1,2200,0.037,0,True
39478,,,Unité(s),DISPINA,True,1,2400,0.037,0,True
42481,,,Unité(s),DISPINA,True,1,1600,0.037,0,True
39967,,,Unité(s),DISPINA,True,1,2700,0.037,0,True
36219,,,Unité(s),DISPINA,True,1,1800,0.037,0,True
40925,,,Unité(s),DISPINA METALIC,True,120,2100,0.037,0,True
41177,,,Unité(s),DISPINA METALIC,True,80,2600,0.037,0,True
41178,,,Unité(s),DISPINA METALIC,True,75,1400,0.037,0,True
40900,,,Unité(s),DISPINA METALIC,True,40,1200,0.037,0,True
41315,,,Unité(s),DISPINA METALIC,True,40,1100,0.037,0,True
41309,,,Unité(s),DISPINA METALIC,True,80,3000,0.037,0,True
31484,,,Unité(s),DISPINA METALIC,True,120,1900,0.037,0,True
31485,,,Unité(s),DISPINA METALIC,True,80,1800,0.037,0,True
31486,,,Unité(s),DISPINA METALIC,True,75,2600,0.037,0,True
31487,,,Unité(s),DISPINA METALIC,True,40,2400,0.037,0,True
31488,,,Unité(s),DISPINA METALIC,True,40,1700,0.037,0,True
31489,,,Unité(s),DISPINA METALIC,True,40,1100,0.037,0,True
34869,,,Unité(s),DISPINA METALIC,True,1,2200,0.037,0,True
31490,,,Unité(s),DISPINA METALIC,True,80,2500,0.037,0,True
31492,,,Unité(s),DISPINA METALIC,True,1,1800,0.037,0,True
31491,,,Unité(s),DISPINA METALIC,True,1,1000,0.037,0,True
31493,,,Unité(s),DISPINA METALIC,True,120,2100,0.037,0,True
31494,,,Unité(s),DISPINA METALIC,True,80,2500,0.037,0,True
31495,,,Unité(s),DISPINA METALIC,True,75,2600,0.037,0,True
31496,,,Unité(s),DISPINA METALIC,True,40,2100,0.037,0,True
31497,,,Unité(s),DISPINA METALIC,True,40,1800,0.037,0,True
31498,,,Unité(s),DISPINA METALIC,True,40,2800,0.037,0,True
31501,,,Unité(s),DISPINA METALIC,True,120,2100,0.037,0,True
31502,,,Unité(s),DISPINA METALIC,True,80,1200,0.037,0,True
31503,,,Unité(s),DISPINA METALIC,True,75,2200,0.037,0,True
31504,,,Unité(s),DISPINA METALIC,True,40,2600,0.037,0,True
31505,,,Unité(s),DISPINA METALIC,True,40,2300,0.037,0,True
31506,,,Unité(s),DISPINA METALIC,True,40,2200,0.037,0,True
34870,,,Unité(s),DISPINA METALIC,True,1,2900,0.037,0,True
34873,,,Unité(s),DISPINA METALIC,True,1,1100,0.037,0,True
31507,,,Unité(s),DISPINA METALIC,True,80,1900,0.037,0,True
31499,,,Unité(s),DISPINA METALIC,True,80,2400,0.037,0,True
31508,,,Unité(s),DISPINA METALIC,True,1,2700,0.037,0,True
34875,,,Unité(s),DISPINA METALIC,True,1,2400,0.037,0,True
31500,,,Unité(s),DISPINA METALIC,True,1,1100,0.037,0,True
34871,,,Unité(s),DISPINA METALIC,True,1,1400,0.037,0,True
34872,,,Unité(s),DISPINA METALIC,True,1,2400,0.037,0,True
31509,,,Unité(s),DISPINA METALIC,True,120,2300,0.037,0,False
31510,,,Unité(s),DISPINA METALIC,True,80,2200,0.037,0,False
31511,,,Unité(s),DISPINA METALIC,True,75,1300,0.037,0,False
31512,,,Unité(s),DISPINA METALIC,True,40,2900,0.037,0,False
31513,,,Unité(s),DISPINA METALIC,True,40,2700,0.037,0,False
31514,,,Unité(s),DISPINA METALIC,True,40,1400,0.037,0,False
34876,,,Unité(s),DISPINA METALIC,True,1,3000,0.037,0,False
31515,,,Unité(s),DISPINA METALIC,True,80,2100,0.037,0,False
31516,,,Unité(s),DISPINA METALIC,True,1,2800,0.037,0,False
31458,,,Unité(s),DISPINA,True,50,2100,0.037,0,False
31459,,,Unité(s),DISPINA,True,50,1300,0.037,0,False
31460,,,Unité(s),DISPINA,True,30,1100,0.037,0,False
37135,,,Unité(s),DISPINA,True,1,2300,0.037,0,False
45665,,,Unité(s),DISPINA,True,1,1400,0.037,0,False
31461,,,Unité(s),DISPINA,True,100,1600,0.037,0,False
31462,,,Unité(s),DISPINA,True,100,1100,0.037,0,False
31463,,,Unité(s),DISPINA,True,100,3000,0.037,0,False
31464,,,Unité(s),DISPINA,True,50,2300,0.037,0,False
36682,,,Unité(s),DISPINA,True,100,2500,0.037,0,False
31466,,,Unité(s),DISPINA,True,50,1400,0.037,0,False
31467,,,Unité(s),DISPINA,True,100,1500,0.037,0,False
35864,,,Unité(s),DISPINA,True,1,1600,0.037,0,False
41384,,,Unité(s),DISPINA,True,1,1400,0.037,0,False
41382,,,Unité(s),DISPINA,True,1,2700,0.037,0,False
31465,,,Unité(s),DISPINA,True,100,2000,0.037,0,False
38949,,,Unité(s),DISPINA,True,1,2900,0.037,0,False
31468,,,Unité(s),DISPINA,True,100,2700,0.037,0,False
31469,,,Unité(s),DISPINA,True,100,2000,0.037,0,False
31470,,,Unité(s),DISPINA,True,50,2200,0.037,0,False
31471,,,Unité(s),DISPINA,True,30,2600,0.037,0,False
31472,,,Unité(s),DISPINA,True,50,1100,0.037,0,False
36220,,,Unité(s),DISPINA,True,1,1800,0.037,0,False
36221,,,Unité(s),DISPINA,True,1,1500,0.037,0,False
38099,,,Unité(s),DISPINA,True,1,1300,0.037,0,False
31473,,,Unité(s),DISPINA,True,100,1100,0.037,0,False
31474,,,Unité(s),DISPINA,True,50,2500,0.037,0,False
31475,,,Unité(s),DISPINA,True,50,2500,0.037,0,False
31476,,,Unité(s),DISPINA,True,50,1400,0.037,0,False
31477,,,Unité(s),DISPINA,True,50,2500,0.037,0,False
31478,,,Unité(s),DISPINA,True,50,2500,0.037,0,False
31479,,,Unité(s),DISPINA,True,30,2500,0.037,0,False
31480,,,Unité(s),DISPINA,True,30,1700,0.037,0,False
31481,,,Unité(s),DISPINA,True,50,2700,0.037,0,False
31482,,,Unité(s),DISPINA,True,100,1000,0.037,0,False
31483,,,Unité(s),DISPINA,True,50,2700,0.037,0,False
31517,,,Unité(s),EVOLUTION PLUS,True,30,2800,0.037,0,False
31518,,,Unité(s),EVOLUTION PLUS,True,30,2100,0.037,0,False
31519,,,Unité(s),EVOLUTION PLUS,True,30,1900,0.037,0,False
31520,,,Unité(s),EVOLUTION PLUS,True,30,2100,0.037,0,False
31521,,,Unité(s),EVOLUTION PLUS,True,30,2800,0.037,0,False
31522,,,Unité(s),EVOLUTION PLUS,True,30,3000,0.037,0,False
31523,,,Unité(s),EVOLUTION PLUS,True,30,3000,0.037,0,False
31524,,,Unité(s),EVOLUTION PLUS,True,30,3000,0.037,0,False
31525,,,Unité(s),EVOLUTION PLUS,True,30,1100,0.037,0,False
31526,,,Unité(s),EVOLUTION PLUS,True,30,2100,0.037,0,False
31527,,,Unité(s),EVOLUTION PLUS,True,30,1700,0.037,0,False
31528,,,Unité(s),EVOLUTION PLUS,True,30,1900,0.037,0,False
31529,,,Unité(s),EVOLUTION PLUS,True,30,1800,0.037,0,False
31530,,,Unité(s),EVOLUTION PLUS,True,30,2200,0.037,0,False
31531,,,Unité(s),EVOLUTION PLUS,True,30,2200,0.037,0,False
31532,,,Unité(s),EVOLUTION PLUS,True,30,2700,0.037,0,False
31541,,,Unité(s),EVOLUTION,True,1,1700,0.037,0,False
31542,,,Unité(s),EVOLUTION,True,50,1700,0.037,0,False
31543,,,Unité(s),EVOLUTION,True,100,2000,0.037,0,False
31544,,,Unité(s),EVOLUTION,True,50,2000,0.037,0,False
31545,,,Unité(s),EVOLUTION,True,100,1400,0.037,0,False
31546,,,Unité(s),EVOLUTION,True,1,2100,0.037,0,False
31547,,,Unité(s),EVOLUTION,True,100,1400,0.037,0,False
31548,,,Unité(s),EVOLUTION,True,50,1800,0.037,0,False
31549,,,Unité(s),EVOLUTION,True,100,2800,0.037,0,False
31550,,,Unité(s),EVOLUTION,True,50,1400,0.037,0,False
31551,,,Unité(s),EVOLUTION,True,100,1500,0.037,0,False
31552,,,Unité(s),EVOLUTION,True,80,2500,0.037,0,False
37160,,,Unité(s),EVOLUTION,True,50,1900,0.037,0,False
31553,,,Unité(s),EVOLUTION,True,50,2600,0.037,0,False
31571,,,Unité(s),EVOLUTION PLUS,True,100,2300,0.034,0,False
31572,,,Unité(s),EVOLUTION PLUS,True,1,1000,0.034,0,False
31573,,,Unité(s),EVOLUTION PLUS,True,100,2700,0.034,0,False
31574,,,Unité(s),EVOLUTION PLUS,True,100,2300,0.034,0,False
31575,,,Unité(s),EVOLUTION PLUS,True,100,2500,0.034,0,False
31576,,,Unité(s),EVOLUTION PLUS,True,100,3000,0.034,0,False
31577,,,Unité(s),EVOLUTION PLUS,True,100,1400,0.034,0,False
31578,,,Unité(s),EVOLUTION PLUS,True,100,2600,0.034,0,False
31579,,,Unité(s),EVOLUTION PLUS,True,100,2200,0.034,0,False
31580,,,Unité(s),EVOLUTION PLUS,True,100,1900,0.034,0,False
44501,,,Unité(s),DISPINA,True,1,1700,0.034,0,False
31581,,,Unité(s),EVOLUTION PLUS,True,100,2700,0.034,0,False
31582,,,Unité(s),EVOLUTION PLUS,True,100,1900,0.034,0,False
42560,,,Unité(s),EVOLUTION PLUS,True,1,2800,0.034,0,False
31583,,,Unité(s),EVOLUTION PLUS,True,100,1800,0.034,0,False
36659,,,Unité(s),EVOLUTION PLUS,True,1,1800,0.034,0,False
31584,,,Unité(s),EVOLUTION PLUS,True,100,1700,0.034,0,False
31586,,,Unité(s),EVOLUTION PLUS,True,100,1900,0.034,0,False
31585,,,Unité(s),EVOLUTION PLUS,True,100,2700,0.034,0,False
31587,,,Unité(s),EVOLUTION PLUS,True,100,1500,0.034,0,False
34834,,,Unité(s),EVOLUTION PLUS,True,1,1200,0.034,0,False
31588,,,Unité(s),EVOLUTION PLUS,True,100,2700,0.034,0,False
31589,,,Unité(s),EVOLUTION PLUS,True,100,1200,0.034,0,False
31590,,,Unité(s),EVOLUTION PLUS,True,100,1300,0.034,0,False
34836,,,Unité(s),EVOLUTION PLUS,True,1,1800,0.034,0,False
31591,,,Unité(s),EVOLUTION PLUS,True,100,1600,0.034,0,False
31592,,,Unité(s),EVOLUTION PLUS,True,100,1500,0.034,0,False
31593,,,Unité(s),EVOLUTION PLUS,True,100,2200,0.034,0,False
31594,,,Unité(s),EVOLUTION PLUS,True,100,1400,0.034,0,False
41894,,,Unité(s),EVOLUTION PLUS,True,1,1900,0.034,0,False
44121,,,Unité(s),EVOLUTION PLUS,True,100,1700,0.034,0,False
31554,,,Unité(s),EVOLUTION,True,100,2600,0.037,0,False
31595,,,Unité(s),EVOLUTION PLUS,True,100,1200,0.037,0,False
31556,,,Unité(s),EVOLUTION,True,100,2100,0.037,0,False
31596,,,Unité(s),EVOLUTION PLUS,True,100,2200,0.037,0,False
31555,,,Unité(s),EVOLUTION,True,100,2500,0.037,0,False
31557,,,Unité(s),EVOLUTION,True,100,1800,0.037,0,False
31597,,,Unité(s),EVOLUTION PLUS,True,100,1700,0.037,0,False
31558,,,Unité(s),EVOLUTION,True,100,1900,0.037,0,False
31560,,,Unité(s),EVOLUTION,True,100,2000,0.037,0,False
31561,,,Unité(s),EVOLUTION,True,100,1600,0.037,0,False
31562,,,Unité(s),EVOLUTION,True,100,1900,0.037,0,False
31602,,,Unité(s),EVOLUTION PLUS,True,100,1300,0.037,0,False
31598,,,Unité(s),EVOLUTION PLUS,True,100,1700,0.037,0,False
38965,,,Unité(s),EVOLUTION,True,100,1300,0.037,0,False
31559,,,Unité(s),EVOLUTION,True,100,2800,0.037,0,False
31563,,,Unité(s),EVOLUTION,True,100,1100,0.037,0,False
31599,,,Unité(s),EVOLUTION PLUS,True,100,1400,0.037,0,False
31600,,,Unité(s),EVOLUTION PLUS,True,100,2700,0.037,0,False
31601,,,Unité(s),EVOLUTION PLUS,True,100,1800,0.037,0,False
31564,,,Unité(s),EVOLUTION,True,50,2600,0.037,0,False
31565,,,Unité(s),EVOLUTION,True,100,1700,0.037,0,False
31566,,,Unité(s),EVOLUTION,True,50,1700,0.037,0,False
31567,,,Unité(s),EVOLUTION,True,50,2600,0.037,0,False
31568,,,Unité(s),EVOLUTION,True,50,1400,0.037,0,False
31569,,,Unité(s),EVOLUTION,True,100,1100,0.037,0,False
31570,,,Unité(s),EVOLUTION,True,50,3000,0.037,0,False
40680,,,Unité(s),TABLEAUX DISTRIBUTION,True,1,1900,0.041,0,False
34789,,,Unité(s),MOULURE,True,1,1800,0.041,0,False
34018,,,Unité(s),ICON,True,100,1800,0.041,0,False
34391,,,Unité(s),ICON,True,50,2700,0.041,0,False
34392,,,Unité(s),ICON,True,80,2200,0.041,0,False
34393,,,Unité(s),ICON,True,60,2100,0.041,0,False
